pair,time,type,ordertype,price,cost,fee,vol
TRXEUR,2020-09-01 21:38:51,sell,limit,0.03,39,0.0624,1300
XTZEUR,2020-09-03 06:08:40,buy,limit,2.5,50,0.08,20
ATOMEUR,2020-09-03 12:12:19,buy,limit,5,50,0.08,10
LINKEUR,2020-09-03 12:26:46,buy,limit,11,50.05,0.08008,4.55
DOTEUR,2020-09-05 17:34:55,buy,limit,3.6,50,0.08,13.88888888
XXRPZEUR,2020-09-05 18:51:41,buy,limit,0.2,50,0.08,250
LINKEUR,2020-09-05 18:54:40,buy,limit,8,50,0.08,6.25
ADAEUR,2020-09-21 10:00:02,buy,limit,0.07,50.05,0.08008,715
ALGOEUR,2020-09-21 11:40:25,buy,limit,0.25,50,0.08,200
TRXEUR,2020-09-21 16:21:59,buy,limit,0.021,52.5,0.084,2500
ATOMEUR,2020-10-07 01:38:46,buy,limit,3.9,50,0.08,12.82051282
XXBTZEUR,2020-10-21 13:37:29,sell,limit,10500,157.5,0.252,0.015
UNIEUR,2020-10-24 21:51:39,buy,limit,2.5,50,0.08,20
XTZEUR,2020-10-30 03:56:12,buy,limit,1.6,50,0.08,31.25
XXBTZEUR,2020-11-05 22:22:37,sell,limit,13000,130,0.208,0.01
LINKEUR,2020-11-07 02:07:34,sell,limit,11,143,0.2288,13
FILEUR,2020-11-08 00:06:09,buy,limit,25,50,0.08,2
UNIEUR,2020-11-15 10:04:08,sell,limit,3.5,31.5,0.0504,9
XXBTZEUR,2020-11-20 14:34:37,sell,limit,15500,155,0.248,0.01
ADAEUR,2020-11-20 23:37:19,sell,limit,0.1,100,0.16,1000
EOSEUR,2020-11-21 04:08:46,buy,limit,2.3,50.14,0.080224,21.8
XXRPZEUR,2020-11-23 14:21:43,sell,limit,0.45,225,0.36,500
XXLMZEUR,2020-11-24 04:38:11,sell,limit,0.15,150,0.24,1000
TRXEUR,2020-11-24 04:44:52,sell,limit,0.03,60,0.096,2000
UNIEUR,2020-11-26 03:38:12,buy,limit,2.7,51.3,0.08208,19
ADAEUR,2020-11-28 23:15:31,sell,limit,0.14,102.9,0.16464,735
XXRPZEUR,2020-11-30 23:31:23,sell,limit,0.56,168,0.2688,300
XXRPZEUR,2020-12-12 00:01:07,buy,limit,0.4,50,0.08,125
XETHZEUR,2020-12-16 16:34:09,sell,limit,515,15.33538,0.02454,0.02977744
XETHZEUR,2020-12-16 16:34:09,sell,limit,515,149.46462,0.23914,0.29022256
XXBTZEUR,2020-12-17 08:13:44,sell,limit,18500,185,0.296,0.01
XXRPZEUR,2020-12-17 16:02:04,sell,limit,0.5,100,0.16,200
XLTCZEUR,2020-12-18 02:06:33,sell,limit,90,135,0.216,1.5
XXRPZEUR,2020-12-22 21:40:27,buy,limit,0.35,50,0.08,142.8571429
XXLMZEUR,2020-12-23 22:18:35,buy,limit,0.1,50,0.08,500
LINKEUR,2020-12-23 22:20:42,buy,limit,8,56,0.0896,7
TRXEUR,2020-12-23 22:22:21,buy,limit,0.02,50,0.08,2500
XXBTZEUR,2020-12-27 06:01:03,sell,limit,22000,176,0.2816,0.008
FILEUR,2020-12-28 22:21:03,buy,limit,18,20.00866,0.03201,1.11159195
FILEUR,2020-12-28 22:21:06,buy,limit,18,15.99134,0.02559,0.88840805
XXRPZEUR,2020-12-28 22:47:11,buy,limit,0.2,50,0.08,250
DOTEUR,2020-12-29 12:38:15,sell,limit,5.5,55,0.088,10
XXRPZEUR,2020-12-29 15:21:00,buy,limit,0.155,50,0.08,322.5806452
UNIEUR,2020-12-30 17:55:03,sell,limit,3.5,52.5,0.084,15
XDGEUR,2021-01-01 03:47:01,sell,limit,0.004,20,0.032,5000
XXBTZEUR,2021-01-03 06:06:10,sell,limit,27000,160.38,0.25661,0.00594
XETHZEUR,2021-01-03 16:00:43,sell,limit,730,115.6539,0.18505,0.15843
LINKEUR,2021-01-03 23:41:49,sell,limit,11,110,0.176,10
ADAEUR,2021-01-04 00:21:18,sell,limit,0.17,85,0.136,500
ALGOEUR,2021-01-05 13:34:10,sell,limit,0.4,60,0.096,150
DOTEUR,2021-01-05 21:10:05,sell,limit,8.1,55.80001,0.08928,6.88889
UNIEUR,2021-01-05 21:39:41,sell,limit,5.3,37.1,0.05936,7
XLTCZEUR,2021-01-05 22:24:11,sell,limit,130,65.52,0.10483,0.504
XETHZEUR,2021-01-05 22:38:33,sell,limit,900,135,0.216,0.15
XXLMZEUR,2021-01-06 06:27:02,sell,limit,0.185,156.14,0.249824,844
XXLMZEUR,2021-01-06 10:55:15,sell,limit,0.23,115,0.184,500
ADAEUR,2021-01-06 22:54:00,sell,limit,0.27,54,0.0864,200
LINKEUR,2021-01-07 00:00:05,sell,limit,14,112,0.1792,8
XXRPZEUR,2021-01-07 04:32:19,sell,limit,0.25,100,0.16,400
BCHEUR,2021-01-10 05:09:21,sell,limit,500,175,0.28,0.35
DOTEUR,2021-01-11 03:38:00,buy,limit,6,60,0.096,10
BCHEUR,2021-01-11 14:06:18,buy,limit,370,51.8,0.08288,0.14
DOTEUR,2021-01-13 16:00:55,sell,limit,8,64,0.1024,8
ATOMEUR,2021-01-15 01:14:59,sell,limit,6,120,0.192,20
DOTEUR,2021-01-16 00:31:46,sell,limit,12,48,0.0768,4
LINKEUR,2021-01-17 19:45:03,sell,limit,19,76,0.1216,4
UNIEUR,2021-01-18 09:33:29,sell,limit,8,32,0.0512,4
ATOMEUR,2021-01-18 20:00:24,sell,limit,8,6.093455,0.00975,0.76168193
ATOMEUR,2021-01-18 20:00:24,sell,limit,8,73.906545,0.11825,9.23831807
ATOMEUR,2021-01-21 22:26:22,buy,limit,6,48,0.0768,8
XXBTZEUR,2021-01-21 22:27:05,buy,limit,25000,50,0.08,0.002
LINKEUR,2021-01-21 22:30:13,buy,limit,15,60,0.096,4
UNIEUR,2021-01-22 00:23:05,buy,limit,6,54,0.0864,9
LINKEUR,2021-01-23 06:12:25,sell,limit,19.5,78,0.1248,4
BATEUR,2021-01-23 07:41:28,sell,limit,0.3,30,0.048,100
UNIEUR,2021-01-24 10:56:23,sell,limit,8.5,51,0.0816,6
XETHZEUR,2021-01-25 00:49:20,sell,limit,1200,108,0.1728,0.09
ALGOEUR,2021-01-25 10:51:48,sell,limit,0.51,47.357141,0.075771,92.85714
UNIEUR,2021-01-26 17:05:42,sell,limit,11,33,0.0528,3
XDGEUR,2021-01-28 21:47:18,sell,limit,0.02,60,0.096,3000
XXLMZEUR,2021-01-29 04:56:01,sell,limit,0.3,105,0.168,350
TRXEUR,2021-01-29 13:43:10,sell,limit,0.03,60,0.096,2000
XXRPZEUR,2021-01-30 16:07:32,sell,limit,0.35,105,0.168,300
XXRPZEUR,2021-02-01 03:23:12,sell,limit,0.43,99.76,0.159616,232
XXRPZEUR,2021-02-01 13:43:47,buy,limit,0.35,50.05,0.08008,143
ADAEUR,2021-02-03 16:16:03,sell,limit,0.37,55.576605,0.088923,150.20704
ATOMEUR,2021-02-05 03:39:25,sell,limit,8,80,0.128,10
XXBTZEUR,2021-02-06 09:09:20,sell,limit,33000,99,0.1584,0.003
AAVEEUR,2021-02-07 04:46:34,buy,limit,360,50.4,0.08064,0.14
ADAEUR,2021-02-07 05:52:47,sell,limit,0.55,41.25,0.066,75
ALGOEUR,2021-02-07 08:52:26,sell,limit,0.71,35.5,0.0568,50
ATOMEUR,2021-02-07 09:11:26,sell,limit,11,77,0.1232,7
DOTEUR,2021-02-08 10:45:36,sell,limit,18,36,0.0576,2
XETHZEUR,2021-02-09 09:12:19,sell,limit,1500,90,0.144,0.06
FILEUR,2021-02-09 11:13:28,sell,limit,27,54,0.0864,2
TRXEUR,2021-02-09 14:51:30,sell,limit,0.04,41.32,0.066112,1033
XTZEUR,2021-02-09 15:33:04,sell,limit,3,120,0.192,40
XXBTZEUR,2021-02-12 00:11:08,sell,limit,40000,100,0.16,0.0025
XXRPZEUR,2021-02-12 02:34:12,sell,limit,0.45,99.9,0.15984,222
XTZEUR,2021-02-12 13:49:18,sell,limit,3.8,98.8,0.15808,26
LINKEUR,2021-02-12 16:10:58,sell,limit,24,66.27216,0.106035,2.76134
XXLMZEUR,2021-02-12 16:52:32,sell,limit,0.4,100,0.16,250
XLTCZEUR,2021-02-13 00:05:22,sell,limit,165,66,0.1056,0.4
BATEUR,2021-02-13 04:24:35,sell,limit,0.55,38.5,0.0616,70
DASHEUR,2021-02-13 08:36:56,sell,limit,170,102,0.1632,0.6
BCHEUR,2021-02-13 16:46:50,sell,limit,500,100,0.16,0.2
ATOMEUR,2021-02-15 17:24:36,sell,limit,18,72,0.1152,4
DASHEUR,2021-02-18 12:46:43,sell,limit,240,72,0.1152,0.3
DOTEUR,2021-02-19 12:06:39,sell,limit,28,28,0.0448,1
XXBTZEUR,2021-02-21 19:07:17,sell,limit,48000,192,0.3072,0.004
XXMRZEUR,2021-02-22 09:37:45,buy,limit,190,51.3,0.08208,0.27
DOTEUR,2021-02-22 14:14:18,buy,limit,26,52,0.0832,2
XXBTZEUR,2021-02-22 14:16:58,buy,limit,40000,50,0.08,0.00125
ATOMEUR,2021-02-22 14:17:16,buy,limit,14,31.941484,0.051106,2.28153457
ATOMEUR,2021-02-22 14:17:16,buy,limit,14,0.082833,0.000133,0.00591661
ATOMEUR,2021-02-22 14:17:16,buy,limit,14,0.000215,0,0.00001534
ATOMEUR,2021-02-22 14:17:34,buy,limit,14,18.095469,0.028953,1.29253348
XTZEUR,2021-02-22 14:18:31,buy,limit,3,48.9,0.07824,16.3
LINKEUR,2021-02-22 14:20:00,buy,limit,18,54,0.0864,3
BCHEUR,2021-02-22 14:21:53,buy,limit,400,50,0.08,0.125
XETHZEUR,2021-02-22 14:23:20,buy,limit,1000,50,0.08,0.05
ATOMEUR,2021-02-23 00:49:00,sell,limit,18,49.46076,0.079137,2.74782
SNXEUR,2021-02-23 02:34:08,buy,limit,16,50,0.08,3.125
AAVEEUR,2021-02-23 04:38:11,buy,limit,290,49.3,0.07888,0.17
XXLMZEUR,2021-02-23 08:55:21,buy,limit,0.3,50.1,0.08016,167
BATEUR,2021-02-23 08:57:28,buy,limit,0.35,35,0.056,100
XXRPZEUR,2021-02-23 08:59:16,buy,limit,0.35,50.05,0.08008,143
XXMRZEUR,2021-02-23 08:59:39,buy,limit,150,49.5,0.0792,0.33
DASHEUR,2021-02-23 09:08:56,buy,limit,170,51,0.0816,0.3
UNIEUR,2021-02-23 09:09:48,buy,limit,16,50,0.08,3.125
LINKEUR,2021-02-24 17:09:10,sell,limit,24,72,0.1152,3
UNIEUR,2021-02-24 21:56:10,sell,limit,20,62.5,0.1,3.125
XETHZEUR,2021-02-25 13:00:15,sell,limit,1350,94.5,0.1512,0.07
ATOMEUR,2021-02-26 00:31:50,buy,limit,14,50.4,0.08064,3.6
ADAEUR,2021-02-26 05:40:07,buy,limit,0.85,51,0.0816,60
ADAEUR,2021-02-26 19:03:59,sell,limit,1.05,68.25,0.1092,65
BATEUR,2021-02-27 01:36:37,sell,limit,0.46,41.4,0.06624,90
XXLMZEUR,2021-02-27 12:14:03,sell,limit,0.37,99.9,0.15984,270
ATOMEUR,2021-03-03 22:53:14,sell,limit,18,54,0.0864,3
UNIEUR,2021-03-07 02:02:21,sell,limit,25,50,0.08,2
AAVEEUR,2021-03-08 19:42:17,sell,limit,360,54,0.0864,0.15
XTZEUR,2021-03-09 01:45:31,sell,limit,3.8,91.2,0.14592,24
DOTEUR,2021-03-09 20:59:04,sell,limit,32,51.2,0.08192,1.6
DASHEUR,2021-03-10 00:43:24,sell,limit,210,73.815,0.118104,0.3515
XXBTZEUR,2021-03-10 19:15:06,sell,limit,48000,96,0.1536,0.002
ADAEUR,2021-03-13 00:07:09,buy,limit,0.85,74.8,0.11968,88
FILEUR,2021-03-13 16:15:39,sell,limit,43,43,0.0688,1
XXRPZEUR,2021-03-16 06:30:25,sell,limit,0.42,84,0.1344,200
ADAEUR,2021-03-16 17:38:28,sell,limit,1.05,94.5,0.1512,90
BATEUR,2021-03-16 18:30:48,sell,limit,0.75,37.5,0.06,50
XXMRZEUR,2021-03-16 19:39:29,sell,limit,190,57,0.0912,0.3
TRXEUR,2021-03-17 04:02:34,sell,limit,0.045,36,0.0576,800
XDGEUR,2021-03-19 08:21:54,sell,limit,0.049,49,0.0784,1000
EOSEUR,2021-03-20 10:53:52,sell,limit,3.7,111,0.1776,30
SCEUR,2021-03-20 23:44:55,buy,limit,0.02,40,0.064,2000
TRXEUR,2021-03-21 20:46:01,sell,limit,0.054,27,0.0432,500
GRTEUR,2021-03-22 00:53:29,buy,limit,1.4,49,0.0784,35
AAVEEUR,2021-03-22 20:46:03,buy,limit,290,72.5,0.116,0.25
FILEUR,2021-03-24 16:07:01,sell,limit,79,39.5,0.0632,0.5
BATEUR,2021-03-24 17:14:06,buy,limit,0.9,31.5,0.0504,35
DASHEUR,2021-03-24 20:28:47,buy,limit,170,51,0.0816,0.3
DOTEUR,2021-03-24 22:20:38,buy,limit,25,75,0.12,3
XXLMZEUR,2021-03-24 22:25:32,buy,limit,0.3,49.8,0.07968,166
SCEUR,2021-03-25 12:36:55,buy,limit,0.015,45,0.072,3000
SCEUR,2021-03-26 21:55:12,sell,limit,0.018,45,0.072,2500
DOTEUR,2021-03-31 11:28:03,sell,limit,31,74.4,0.11904,2.4
XETHZEUR,2021-03-31 18:49:11,sell,limit,1610,96.6,0.15456,0.06
FILEUR,2021-03-31 22:22:58,sell,limit,165,49.5,0.0792,0.3
EOSEUR,2021-04-01 17:14:13,sell,limit,4.5,90,0.144,20
FILEUR,2021-04-01 17:53:07,buy,limit,150,75,0.12,0.5
XXLMZEUR,2021-04-01 21:01:56,sell,limit,0.36,75.24,0.120384,209
DASHEUR,2021-04-02 10:06:35,sell,limit,205,73.8,0.11808,0.36
BATEUR,2021-04-02 14:39:45,sell,limit,1.08,43.2,0.06912,40
AAVEEUR,2021-04-02 15:33:37,sell,limit,350,73.5,0.1176,0.21
XXRPZEUR,2021-04-02 16:28:37,sell,limit,0.51,70.89,0.113424,139
EOSEUR,2021-04-03 00:03:49,sell,limit,5.4,86.4,0.13824,16
DOTEUR,2021-04-03 01:20:46,sell,limit,37.5,56.25,0.09,1.5
XXMRZEUR,2021-04-04 14:59:35,sell,limit,230,46,0.0736,0.2
BCHEUR,2021-04-05 12:34:19,sell,limit,525,94.5,0.1512,0.18
XXRPZEUR,2021-04-05 14:40:35,sell,limit,0.62,46.5,0.0744,75
XTZEUR,2021-04-05 16:09:07,sell,limit,4.6,73.6,0.11776,16
XXLMZEUR,2021-04-05 16:36:00,sell,limit,0.43,92.40184,0.14784294,214.888
XTZEUR,2021-04-06 10:38:39,sell,limit,5.5,55,0.088,10
XLTCZEUR,2021-04-06 12:08:31,sell,limit,200,50,0.08,0.25
DASHEUR,2021-04-07 05:55:35,sell,limit,245,53.9,0.08624,0.22
FILEUR,2021-04-07 09:11:51,buy,limit,120,60,0.096,0.5
DASHEUR,2021-04-07 11:32:37,buy,limit,210,4.409423,0.007055,0.02099725
DASHEUR,2021-04-07 11:32:39,buy,limit,210,69.090578,0.110545,0.32900275
AAVEEUR,2021-04-07 11:33:24,buy,limit,290,72.5,0.116,0.25